entity,entityLabel,countryLabel,entityDescription,date,dateDeath,picture
http://www.wikidata.org/entity/Q21441770,Henry Debosnys,Portugal,,1836-01-01T00:00:00Z,1883-04-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Debosnys-Cryptogram-1.png
http://www.wikidata.org/entity/Q30890915,Antônio Eduardo de Araújo Guerra,Portugal,"Luso-Brazilian journalist, cartoonist, illustrator and decorator",1900-01-01T00:00:00Z,t1380074381,http://commons.wikimedia.org/wiki/Special:FilePath/Ara%C3%BAjo%20Guerra%20-%20O%20Cabrion%202.jpg
http://www.wikidata.org/entity/Q7357399,Rodrigo Pinto Guedes,Portugal,Brazilian naval admiral,1762-07-17T00:00:00Z,1848-06-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pinto%20Guedes.png
http://www.wikidata.org/entity/Q8250199,"Diogo de Sousa, conde do Rio Pardo",Portugal,,1755-05-01T00:00:00Z,1829-07-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/D.%20Diogo%20de%20Sousa%20-%201%C2%BA%20Conde%20de%20Rio%20Pardo%20e%20Vice%20Rei%20da%20%C3%8Dndia.png
http://www.wikidata.org/entity/Q9618476,"Antão de Almada, 7.º conde de Avranches",Portugal,,1573-01-01T00:00:00Z,1644-12-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Seigneur%20portugais%20-%20Ant%C3%A3o%20de%20Almada%20%281609%29%2C%20Biblioth%C3%A8que%20nationale%20de%20France.png
http://www.wikidata.org/entity/Q9637629,Augusto Elias da Silva,Portugal,,1848-01-01T00:00:00Z,1903-12-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto%20Elias%20da%20Silva.jpg
http://www.wikidata.org/entity/Q10268050,Domingos Faustino Correia,Portugal,,1790-09-04T00:00:00Z,1873-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/COMENDADOR%20CORREA.jpg
http://www.wikidata.org/entity/Q10284712,"Francisco Coutinho, 3.º Conde de Redondo",Portugal,"Portuguese nobleman and military officer, 8th viceroy of Portuguese India",1517-01-01T00:00:00Z,1564-02-19T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20Coutinho%20vice-rei.jpg
http://www.wikidata.org/entity/Q10311047,João Anes de Brito,Portugal,,1230-01-01T00:00:00Z,1295-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bras%C3%A3o.armas.brito.PNG
http://www.wikidata.org/entity/Q10321236,Luís Alves Tomás,Portugal,,1871-08-04T00:00:00Z,1931-12-08T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Luiz%20alves%20thomaz.gif
http://www.wikidata.org/entity/Q10321729,Luís de Ataíde,Portugal,3rd Count of Atouguia,1517-01-01T00:00:00Z,1580-03-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Dom%20Lu%C3%ADs%20de%20Ata%C3%AFde.jpg
http://www.wikidata.org/entity/Q20047933,Augusto Bobone,Portugal,,1825-01-01T00:00:00Z,1910-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Augusto%20Bobone%20trademark.jpg
http://www.wikidata.org/entity/Q182491,João Rodrigues Cabrilho,Portugal,Portuguese explorer,1499-01-01T00:00:00Z,1543-01-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Rodr%C3%ADguez%20Cabrillo.jpg
http://www.wikidata.org/entity/Q258042,"Isabel de Avis, Rainha de Portugal",Portugal,Portuguese infanta,1432-03-10T00:00:00Z,1455-12-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Isabel%20de%20Coimbra.PNG
http://www.wikidata.org/entity/Q576323,Beata Mafalda de Portugal,Portugal,"Portuguese infanta, Castilian queen consort, and nun",1197-01-11T00:00:00Z,1256-05-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/014%20Arouca.jpg
http://www.wikidata.org/entity/Q611205,António Mendes Bello,Portugal,Catholic cardinal,1842-06-18T00:00:00Z,1929-08-05T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bello%20Antonio%20Mendes.jpg
http://www.wikidata.org/entity/Q660778,Pedro Paulo de Figueiredo da Cunha e Melo,Portugal,Portuguese archbishop,1770-06-18T00:00:00Z,1855-12-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Cardeal%20Figueiredo%20da%20Cunha%20e%20Mello%20-%20Galeria%20dos%20Arcebispos%20de%20Braga.png
